,,model,feat_type,network_name,pred_y,y,num_nodes,num_edges,Loss
density,0,gin,identity_feat,facebook_combined,5212.70556640625,43.69101262688784,4039,88234,5169.014553779362
density,1,gin,identity_feat,wiki-Vote,7535.27197265625,28.32382290934645,7115,103689,7506.948149746903
density,2,gin,identity_feat,email-Eu-core,769.9375610351562,,1005,25571,
density,3,gin,identity_feat,p2p-Gnutella04,5320.6650390625,7.354542111070247,10876,39994,5313.31049695143
density,4,gin,identity_feat,p2p-Gnutella08,2486.9169921875,6.594826218060625,6301,20777,2480.3221659694395
density,5,gin,identity_feat,ca-GrQc,500.4831237792969,,5242,28980,
density,6,gin,identity_feat,CSphd,261.3594055175781,1.849096705632306,1882,3480,259.51030881194583
density,7,gin,identity_feat,YeastS,1168.633544921875,,2361,13828,
density,8,gin,identity_feat,geom,1060.497802734375,3.2406373416859595,7343,23796,1057.257165392689
density,9,gin,identity_feat,netsience,281.3045349121094,3.4512271869100064,1589,5484,277.8533077251994
density,10,gin,identity_feat,Erdos02,3683.47607421875,,6927,23700,
density,11,gin,identity_feat,karate,10.93415641784668,,34,156,
density,12,gin,identity_feat,lesmis,6.709863185882568,,77,508,
density,13,gin,identity_feat,adjnoun,73.6785888671875,7.589285714285714,112,850,66.08930315290179
density,14,gin,identity_feat,football,29.624530792236328,10.660869565217393,115,1226,18.963661227018935
density,15,gin,identity_feat,dolphins,17.349624633789062,,62,318,
density,16,gin,identity_feat,polbooks,42.346038818359375,,105,882,
density,17,gin,identity_feat,hep-th,797.4990844726562,3.767731132639637,8361,31502,793.7313533400167
density,18,gin,identity_feat,power,627.7593994140625,,4941,13188,
density,19,gin,identity_feat,CLUSTERDataset,91.41497802734376,35.07692307692308,117,4104,56.338054950420684
density,20,gin,identity_feat,PATTERNDataset,66.73223114013672,,108,4884,
density,21,gin,identity_feat,TreeGridDataset,1062.9097900390625,2.770105605199025,1231,1705,1060.1396844338635
density,22,gin,identity_feat,TreeCycleDataset,654.8430786132812,,871,966,
transitivity,0,gin,identity_feat,facebook_combined,91.54939270019533,0.5191742775433075,4039,88234,91.03021842265201
transitivity,1,gin,identity_feat,wiki-Vote,-33.20361328125,0.1254791489923399,7115,103689,33.32909243024234
transitivity,2,gin,identity_feat,email-Eu-core,16.92279052734375,,1005,25571,
transitivity,3,gin,identity_feat,p2p-Gnutella04,-141.69781494140625,0.0054020289419195,10876,39994,141.70321697034817
transitivity,4,gin,identity_feat,p2p-Gnutella08,-120.00048828125,0.0206598792600705,6301,20777,120.02114816051007
