Epoch 1/100, Train Loss: 121.9404, Val Loss: 5.7969
Epoch 2/100, Train Loss: 4.1114, Val Loss: 2.6054
Epoch 3/100, Train Loss: 1.4785, Val Loss: 0.8190
Epoch 4/100, Train Loss: 0.3533, Val Loss: 0.1702
Epoch 5/100, Train Loss: 0.0681, Val Loss: 0.0285
Epoch 6/100, Train Loss: 0.0188, Val Loss: 0.0121
Epoch 7/100, Train Loss: 0.0099, Val Loss: 0.0087
Epoch 8/100, Train Loss: 0.0073, Val Loss: 0.0080
Epoch 9/100, Train Loss: 0.0065, Val Loss: 0.0067
Epoch 10/100, Train Loss: 0.0053, Val Loss: 0.0059
Epoch 11/100, Train Loss: 0.0045, Val Loss: 0.0053
Epoch 12/100, Train Loss: 0.0039, Val Loss: 0.0044
Epoch 13/100, Train Loss: 0.0035, Val Loss: 0.0045
Epoch 14/100, Train Loss: 0.0039, Val Loss: 0.0040
Epoch 15/100, Train Loss: 0.0028, Val Loss: 0.0031
Epoch 16/100, Train Loss: 0.0024, Val Loss: 0.0033
Epoch 17/100, Train Loss: 0.0027, Val Loss: 0.0039
Epoch 18/100, Train Loss: 0.0020, Val Loss: 0.0025
Epoch 19/100, Train Loss: 0.0022, Val Loss: 0.0021
Epoch 20/100, Train Loss: 0.0017, Val Loss: 0.0029
Epoch 21/100, Train Loss: 0.0018, Val Loss: 0.0030
Epoch 22/100, Train Loss: 0.0015, Val Loss: 0.0023
Epoch 23/100, Train Loss: 0.0015, Val Loss: 0.0032
Epoch 24/100, Train Loss: 0.0014, Val Loss: 0.0016
Epoch 25/100, Train Loss: 0.0012, Val Loss: 0.0018
Epoch 26/100, Train Loss: 0.0019, Val Loss: 0.0035
Epoch 27/100, Train Loss: 0.0018, Val Loss: 0.0041
Epoch 28/100, Train Loss: 0.0011, Val Loss: 0.0012
Epoch 29/100, Train Loss: 0.0025, Val Loss: 0.0039
Epoch 30/100, Train Loss: 0.0019, Val Loss: 0.0015
Epoch 31/100, Train Loss: 0.0019, Val Loss: 0.0014
Epoch 32/100, Train Loss: 0.0018, Val Loss: 0.0019
Epoch 33/100, Train Loss: 0.0023, Val Loss: 0.0023
Epoch 34/100, Train Loss: 0.0022, Val Loss: 0.0008
Epoch 35/100, Train Loss: 0.0025, Val Loss: 0.0025
Epoch 36/100, Train Loss: 0.0064, Val Loss: 0.0016
Epoch 37/100, Train Loss: 0.0031, Val Loss: 0.0172
Epoch 38/100, Train Loss: 0.0155, Val Loss: 0.0041
Epoch 39/100, Train Loss: 0.0179, Val Loss: 0.0246
Epoch 40/100, Train Loss: 0.0047, Val Loss: 0.0050
Epoch 41/100, Train Loss: 0.0162, Val Loss: 0.0161
Epoch 42/100, Train Loss: 0.0155, Val Loss: 0.0100
Epoch 43/100, Train Loss: 0.0154, Val Loss: 0.0010
Epoch 44/100, Train Loss: 0.0089, Val Loss: 0.0216
Epoch 45/100, Train Loss: 0.0250, Val Loss: 0.0982
Epoch 46/100, Train Loss: 0.0850, Val Loss: 0.0182
Epoch 47/100, Train Loss: 0.0040, Val Loss: 0.0044
Epoch 48/100, Train Loss: 0.0036, Val Loss: 0.0160
Epoch 49/100, Train Loss: 0.0213, Val Loss: 0.0067
Epoch 50/100, Train Loss: 0.0163, Val Loss: 0.0238
Epoch 51/100, Train Loss: 0.0397, Val Loss: 0.0058
Epoch 52/100, Train Loss: 0.0083, Val Loss: 0.0083
Epoch 53/100, Train Loss: 0.0153, Val Loss: 0.0103
Epoch 54/100, Train Loss: 0.0080, Val Loss: 0.0371
Epoch 55/100, Train Loss: 0.0460, Val Loss: 0.0220
Epoch 56/100, Train Loss: 0.0426, Val Loss: 0.0451
Epoch 57/100, Train Loss: 0.0321, Val Loss: 0.0045
Epoch 58/100, Train Loss: 0.0031, Val Loss: 0.0011
Epoch 59/100, Train Loss: 0.0066, Val Loss: 0.0086
Epoch 60/100, Train Loss: 0.0267, Val Loss: 0.0197
Epoch 61/100, Train Loss: 0.0309, Val Loss: 0.0048
Epoch 62/100, Train Loss: 0.0232, Val Loss: 0.0050
Epoch 63/100, Train Loss: 0.0387, Val Loss: 0.0489
Epoch 64/100, Train Loss: 0.0210, Val Loss: 0.0025
Epoch 65/100, Train Loss: 0.0042, Val Loss: 0.0024
Epoch 66/100, Train Loss: 0.0225, Val Loss: 0.0165
Epoch 67/100, Train Loss: 0.0592, Val Loss: 0.0048
Epoch 68/100, Train Loss: 0.0080, Val Loss: 0.0065
Epoch 69/100, Train Loss: 0.0040, Val Loss: 0.0014
Epoch 70/100, Train Loss: 0.0517, Val Loss: 0.0149
Epoch 71/100, Train Loss: 0.0107, Val Loss: 0.0079
Epoch 72/100, Train Loss: 0.0025, Val Loss: 0.0059
Epoch 73/100, Train Loss: 0.0575, Val Loss: 0.0064
Epoch 74/100, Train Loss: 0.0027, Val Loss: 0.0034
Epoch 75/100, Train Loss: 0.0285, Val Loss: 0.0113
Epoch 76/100, Train Loss: 0.0124, Val Loss: 0.0034
Epoch 77/100, Train Loss: 0.0251, Val Loss: 0.0204
Epoch 78/100, Train Loss: 0.0672, Val Loss: 0.0153
Epoch 79/100, Train Loss: 0.0041, Val Loss: 0.0018
Epoch 80/100, Train Loss: 0.0039, Val Loss: 0.0039
Epoch 81/100, Train Loss: 0.0060, Val Loss: 0.0028
Epoch 82/100, Train Loss: 0.0747, Val Loss: 0.3903
Epoch 83/100, Train Loss: 0.0490, Val Loss: 0.0012
Epoch 84/100, Train Loss: 0.0020, Val Loss: 0.0010
Epoch 85/100, Train Loss: 0.0046, Val Loss: 0.0013
Epoch 86/100, Train Loss: 0.0040, Val Loss: 0.0015
Epoch 87/100, Train Loss: 0.0176, Val Loss: 0.0151
Epoch 88/100, Train Loss: 0.0445, Val Loss: 0.0107
Epoch 89/100, Train Loss: 0.0066, Val Loss: 0.0584
Epoch 90/100, Train Loss: 0.0203, Val Loss: 0.0376
Epoch 91/100, Train Loss: 0.0062, Val Loss: 0.0039
Epoch 92/100, Train Loss: 0.0625, Val Loss: 0.0211
Epoch 93/100, Train Loss: 0.0111, Val Loss: 0.0011
Epoch 94/100, Train Loss: 0.0009, Val Loss: 0.0009
Epoch 95/100, Train Loss: 0.0224, Val Loss: 0.0053
Epoch 96/100, Train Loss: 0.0310, Val Loss: 0.0060
Epoch 97/100, Train Loss: 0.0103, Val Loss: 0.0059
Epoch 98/100, Train Loss: 0.0161, Val Loss: 0.0699
Epoch 99/100, Train Loss: 0.0374, Val Loss: 0.0149
Epoch 100/100, Train Loss: 0.0040, Val Loss: 0.0043
Test Loss: 0.0040
