simple_code_mlp code
Epoch 1/100, Train Loss: 113.5150, Val Loss: 6.7550
Epoch 11/100, Train Loss: 0.0103, Val Loss: 0.0066
Epoch 21/100, Train Loss: 0.0035, Val Loss: 0.0015
Epoch 31/100, Train Loss: 0.0054, Val Loss: 0.0035
Epoch 41/100, Train Loss: 0.0362, Val Loss: 0.0110
Epoch 51/100, Train Loss: 0.0083, Val Loss: 0.0012
Epoch 61/100, Train Loss: 0.0594, Val Loss: 0.2325
Epoch 71/100, Train Loss: 0.0243, Val Loss: 0.0136
Epoch 81/100, Train Loss: 0.0480, Val Loss: 0.1870
Epoch 91/100, Train Loss: 0.0036, Val Loss: 0.0066
Test Loss: 0.0051
Train loss average: 0.023889134309254587, Valid loss average: 0.005293667957186699, Test loss average: 0.005074608515948057
