/project/p_gnn001/code/gnn_clean_code/simple_code_mlp2.py:50: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  data = [torch.tensor(d, dtype=torch.float32) for d in data]
GenAggModel
Epoch 1/1000, Train Loss: 47.5382, Val Loss: 40.5618
Epoch 11/1000, Train Loss: 0.2720, Val Loss: 0.2558
Epoch 21/1000, Train Loss: 0.1140, Val Loss: 0.1102
Epoch 31/1000, Train Loss: 0.0530, Val Loss: 0.0523
Epoch 41/1000, Train Loss: 0.0300, Val Loss: 0.0298
Epoch 51/1000, Train Loss: 0.0216, Val Loss: 0.0217
Epoch 61/1000, Train Loss: 0.0186, Val Loss: 0.0188
Epoch 71/1000, Train Loss: 0.0175, Val Loss: 0.0178
Epoch 81/1000, Train Loss: 0.0171, Val Loss: 0.0174
Epoch 91/1000, Train Loss: 0.0169, Val Loss: 0.0173
Epoch 101/1000, Train Loss: 0.0169, Val Loss: 0.0173
Epoch 111/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 121/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 131/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 141/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 151/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 161/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 171/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 181/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 191/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 201/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 211/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 221/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 231/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 241/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 251/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 261/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 271/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 281/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 291/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 301/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 311/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 321/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 331/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 341/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 351/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 361/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 371/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 381/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 391/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 401/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 411/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 421/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 431/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 441/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 451/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 461/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 471/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 481/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 491/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 501/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 511/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 521/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 531/1000, Train Loss: 0.0169, Val Loss: 0.0172
Epoch 541/1000, Train Loss: 0.0169, Val Loss: 0.0172
